real verb class vsense animrec animth defrec defth prorec proth accrec accth ldiff mod
NP grant a grant.a animate inanim definite definite nonpro nonpro notgiven notgiven 0.7884574 wallstreet
NP give a give.a animate inanim definite definite nonpro nonpro given given 2.2512918 wallstreet
NP award a award.a animate inanim definite indef nonpro nonpro given notgiven 0.9162907 wallstreet
NP charge p charge.p animate inanim indef indef nonpro nonpro notgiven notgiven 0 wallstreet
NP give c give.c animate inanim indef indef nonpro nonpro notgiven notgiven 1.3862943 wallstreet
NP give a give.a inanim inanim definite indef nonpro nonpro given notgiven 1.5040774 wallstreet
NP give a give.a inanim inanim definite indef pronom nonpro given notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite definite nonpro nonpro given notgiven 1.8718022 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0 wallstreet
NP give c give.c animate inanim definite indef pronom nonpro given notgiven 1.6094379 wallstreet
NP give a give.a inanim inanim definite indef nonpro nonpro notgiven notgiven 0 wallstreet
NP allow a allow.a inanim inanim definite indef nonpro nonpro notgiven notgiven 1.3862943 wallstreet
NP reimburse t reimburse.t animate inanim definite indef pronom nonpro given notgiven 1.6094379 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro notgiven notgiven 0.7884574 wallstreet
NP deny p deny.p animate inanim definite indef pronom nonpro given notgiven 2.1972246 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 3.0910425 wallstreet
NP tell a tell.a animate inanim definite indef pronom nonpro given notgiven 3.2580965 wallstreet
NP award a award.a animate inanim definite indef nonpro nonpro notgiven notgiven 1.6739764 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 2.5257286 wallstreet
NP give a give.a animate inanim definite definite nonpro nonpro given notgiven 2.3025851 wallstreet
NP offer a offer.a animate inanim definite definite pronom nonpro given notgiven 2.3978953 wallstreet
NP pay t pay.t animate inanim definite indef pronom nonpro given notgiven 1.6094379 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro notgiven notgiven 0.5596157 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 2.014903 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.8718022 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro notgiven notgiven 1.3862944 wallstreet
NP cost p cost.p animate inanim definite indef nonpro nonpro given notgiven 0 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro notgiven notgiven 1.7047481 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro notgiven notgiven -0.1823216 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 1.6094379 wallstreet
NP give a give.a inanim inanim definite indef nonpro nonpro given notgiven 0 wallstreet
NP give a give.a animate inanim definite definite nonpro nonpro given notgiven 1.6094379 wallstreet
NP allow a allow.a animate inanim definite indef nonpro nonpro notgiven notgiven 0.6931472 wallstreet
NP owe f owe.f animate inanim definite indef pronom nonpro given notgiven 1.6094379 wallstreet
NP give a give.a animate inanim definite definite pronom nonpro given notgiven 3.1354942 wallstreet
NP pay t pay.t animate inanim indef indef nonpro nonpro notgiven notgiven 1.0986123 wallstreet
NP grant t grant.t animate inanim indef indef nonpro nonpro given notgiven 1.0986123 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro given notgiven 1.0986123 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro notgiven notgiven 0.5389965 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro notgiven notgiven 1.9459101 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0 wallstreet
NP give t give.t animate inanim definite indef pronom nonpro given notgiven 0 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro given notgiven 0.6931472 wallstreet
NP cost p cost.p animate inanim definite indef nonpro nonpro given notgiven 1.6094379 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.0986123 wallstreet
NP award t award.t animate inanim definite indef nonpro nonpro notgiven notgiven -1.0986123 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro notgiven notgiven 0 wallstreet
NP pay t pay.t animate inanim indef indef nonpro nonpro notgiven notgiven 1.0986123 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 1.9459101 wallstreet
NP give a give.a inanim inanim definite indef nonpro nonpro notgiven notgiven 0 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro given notgiven 2.5649494 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro notgiven notgiven 2.3025851 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro notgiven notgiven -1.0116009 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0.9162907 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 0.9162907 wallstreet
NP pay t pay.t animate inanim definite indef pronom nonpro given notgiven 0 wallstreet
NP lend t lend.t animate inanim definite indef pronom nonpro given notgiven 0 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 1.7917595 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given given 3.1354942 wallstreet
NP give a give.a animate inanim definite definite pronom nonpro given notgiven 1.9459101 wallstreet
NP accord a accord.a animate inanim indef definite nonpro nonpro given notgiven 0.5108256 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 1.5040774 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 0.9162907 wallstreet
NP will f will.f animate inanim definite definite nonpro nonpro given notgiven 0 wallstreet
NP wish a wish.a animate inanim definite definite pronom nonpro given notgiven 1.0986123 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro given notgiven 2.4849066 wallstreet
NP offer a offer.a animate inanim indef indef nonpro nonpro notgiven notgiven 2.5649494 wallstreet
NP offer a offer.a animate inanim indef indef nonpro nonpro notgiven notgiven 1.9459101 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro notgiven notgiven 0 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 2.8332133 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro given notgiven 1.0986123 wallstreet
NP give a give.a inanim inanim definite indef nonpro nonpro given notgiven 0 wallstreet
NP deny p deny.p animate inanim definite definite nonpro nonpro notgiven notgiven 0.9808292 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0.6931471 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.0986123 wallstreet
NP give t give.t animate inanim definite indef pronom nonpro given notgiven 2.5649494 wallstreet
NP assure a assure.a animate inanim indef indef nonpro nonpro notgiven notgiven 1.0986123 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 0.6931472 wallstreet
NP cost p cost.p animate inanim definite indef nonpro nonpro given notgiven 0.2876821 wallstreet
NP give t give.t animate inanim definite indef pronom nonpro given notgiven 2.3978953 wallstreet
NP offer a offer.a animate inanim indef indef nonpro nonpro notgiven notgiven 2.1972246 wallstreet
NP offer a offer.a animate inanim indef indef nonpro nonpro given notgiven 2.8903718 wallstreet
NP offer a offer.a animate inanim indef indef nonpro nonpro given notgiven 2.5649494 wallstreet
NP offer a offer.a animate inanim indef indef nonpro nonpro given notgiven 2.4849066 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 1.7917595 wallstreet
NP allow a allow.a animate inanim definite indef nonpro nonpro notgiven notgiven 0.4054651 wallstreet
NP mail t mail.t animate inanim indef indef nonpro nonpro notgiven notgiven 2.0794415 wallstreet
NP offer a offer.a animate inanim definite indef nonpro nonpro notgiven notgiven 0.8754687 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.2527629 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0 wallstreet
NP give c give.c animate inanim definite indef nonpro nonpro notgiven notgiven 1.2809339 wallstreet
NP give a give.a animate inanim definite definite pronom nonpro given notgiven 2.3978953 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro given notgiven 2.1400661 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 1.3862944 wallstreet
NP send c send.c animate inanim definite definite pronom nonpro given notgiven 1.0986123 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro notgiven notgiven 1.8718022 wallstreet
NP send t send.t animate inanim definite indef nonpro nonpro given notgiven 2.7080502 wallstreet
NP give a give.a animate inanim definite definite pronom nonpro given notgiven 1.0986123 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro notgiven notgiven 1.9459101 wallstreet
NP pay t pay.t animate inanim definite definite nonpro nonpro given given 0 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro notgiven notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0.6931472 wallstreet
NP bring a bring.a animate inanim definite indef pronom nonpro given notgiven 2.3025851 wallstreet
NP lend t lend.t animate inanim definite indef nonpro nonpro given notgiven -0.9162907 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 1.3862944 wallstreet
NP give a give.a inanim inanim definite indef nonpro nonpro given notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro notgiven notgiven 0.8472978 wallstreet
NP give a give.a inanim inanim definite indef pronom nonpro given notgiven 1.0986123 wallstreet
NP grant a grant.a animate inanim definite indef nonpro nonpro notgiven notgiven -0.4054651 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0.9162907 wallstreet
NP give a give.a animate inanim definite definite nonpro nonpro given notgiven 2.6741486 wallstreet
NP owe f owe.f animate inanim definite indef nonpro nonpro given notgiven 1.6094379 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro given notgiven -0.4054651 wallstreet
NP give a give.a animate inanim definite definite pronom nonpro given notgiven 0.6931472 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro given notgiven 0.4054651 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.2527629 wallstreet
NP bring a bring.a animate inanim definite indef nonpro nonpro notgiven notgiven 1.0986123 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 2.9957323 wallstreet
NP hand t hand.t animate inanim definite definite nonpro nonpro notgiven notgiven 0 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 2.7725887 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 2.944439 wallstreet
NP give a give.a animate inanim indef definite nonpro nonpro notgiven notgiven 0.5108256 wallstreet
NP cost p cost.p animate inanim definite indef nonpro nonpro given notgiven 1.0986123 wallstreet
NP cost p cost.p animate inanim definite indef nonpro nonpro notgiven notgiven 1.5040774 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 2.3978953 wallstreet
NP give a give.a animate inanim definite definite pronom nonpro given notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.7917595 wallstreet
NP promise f promise.f animate inanim definite indef nonpro nonpro notgiven notgiven 0.9162907 wallstreet
NP offer t offer.t animate inanim definite indef nonpro nonpro notgiven notgiven -1.3862944 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 2.944439 wallstreet
NP promise a promise.a animate inanim definite indef nonpro nonpro notgiven notgiven 0.2231436 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro notgiven notgiven -0.6931472 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro given notgiven 0 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.2527629 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.2527629 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro given notgiven 1.7917595 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given given 0 wallstreet
NP deny p deny.p animate inanim definite indef pronom nonpro given notgiven 2.8332133 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0 wallstreet
NP offer a offer.a animate inanim indef indef nonpro nonpro notgiven notgiven 1.6094379 wallstreet
NP give a give.a inanim inanim definite indef pronom nonpro given notgiven 1.6094379 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.3862943 wallstreet
NP give a give.a animate inanim indef definite nonpro nonpro notgiven notgiven 2.3978953 wallstreet
NP give a give.a inanim inanim definite indef nonpro nonpro given notgiven 0.9162907 wallstreet
